ramp_sts	 motor_pos	 pos_inc	 motor_dir	 run_flg	 step_delay_us	 step_delay_us_32	 step_no	 step_down	 move	 midpt	 denom	 pos_new	 OCR0	 step_delay_ms
1	 0	 1	 0	 1	 5000	 1280000	 0	 0	 100	 49	 1	 100	 0	 0
1	 1	 1	 0	 1	 3000	 768000	 1	 0	 100	 49	 5	 100	 23	 0
1	 2	 1	 0	 1	 2333	 597334	 2	 0	 100	 49	 9	 100	 18	 0
1	 3	 1	 0	 1	 1974	 505437	 3	 0	 100	 49	 13	 100	 15	 0
1	 4	 1	 0	 1	 1742	 445974	 4	 0	 100	 49	 17	 100	 13	 0
2	 5	 1	 0	 1	 1667	 403501	 5	 96	 100	 49	 21	 100	 13	 0
2	 6	 1	 0	 1	 1667	 403501	 6	 96	 100	 49	 21	 100	 13	 0
2	 7	 1	 0	 1	 1667	 403501	 7	 96	 100	 49	 21	 100	 13	 0
2	 8	 1	 0	 1	 1667	 403501	 8	 96	 100	 49	 21	 100	 13	 0
2	 9	 1	 0	 1	 1667	 403501	 9	 96	 100	 49	 21	 100	 13	 0
2	 10	 1	 0	 1	 1667	 403501	 10	 96	 100	 49	 21	 100	 13	 0
2	 11	 1	 0	 1	 1667	 403501	 11	 96	 100	 49	 21	 100	 13	 0
2	 12	 1	 0	 1	 1667	 403501	 12	 96	 100	 49	 21	 100	 13	 0
2	 13	 1	 0	 1	 1667	 403501	 13	 96	 100	 49	 21	 100	 13	 0
2	 14	 1	 0	 1	 1667	 403501	 14	 96	 100	 49	 21	 100	 13	 0
2	 15	 1	 0	 1	 1667	 403501	 15	 96	 100	 49	 21	 100	 13	 0
2	 16	 1	 0	 1	 1667	 403501	 16	 96	 100	 49	 21	 100	 13	 0
2	 17	 1	 0	 1	 1667	 403501	 17	 96	 100	 49	 21	 100	 13	 0
2	 18	 1	 0	 1	 1667	 403501	 18	 96	 100	 49	 21	 100	 13	 0
2	 19	 1	 0	 1	 1667	 403501	 19	 96	 100	 49	 21	 100	 13	 0
2	 20	 1	 0	 1	 1667	 403501	 20	 96	 100	 49	 21	 100	 13	 0
2	 21	 1	 0	 1	 1667	 403501	 21	 96	 100	 49	 21	 100	 13	 0
2	 22	 1	 0	 1	 1667	 403501	 22	 96	 100	 49	 21	 100	 13	 0
2	 23	 1	 0	 1	 1667	 403501	 23	 96	 100	 49	 21	 100	 13	 0
2	 24	 1	 0	 1	 1667	 403501	 24	 96	 100	 49	 21	 100	 13	 0
2	 25	 1	 0	 1	 1667	 403501	 25	 96	 100	 49	 21	 100	 13	 0
2	 26	 1	 0	 1	 1667	 403501	 26	 96	 100	 49	 21	 100	 13	 0
2	 27	 1	 0	 1	 1667	 403501	 27	 96	 100	 49	 21	 100	 13	 0
2	 28	 1	 0	 1	 1667	 403501	 28	 96	 100	 49	 21	 100	 13	 0
2	 29	 1	 0	 1	 1667	 403501	 29	 96	 100	 49	 21	 100	 13	 0
2	 30	 1	 0	 1	 1667	 403501	 30	 96	 100	 49	 21	 100	 13	 0
2	 31	 1	 0	 1	 1667	 403501	 31	 96	 100	 49	 21	 100	 13	 0
2	 32	 1	 0	 1	 1667	 403501	 32	 96	 100	 49	 21	 100	 13	 0
2	 33	 1	 0	 1	 1667	 403501	 33	 96	 100	 49	 21	 100	 13	 0
2	 34	 1	 0	 1	 1667	 403501	 34	 96	 100	 49	 21	 100	 13	 0
2	 35	 1	 0	 1	 1667	 403501	 35	 96	 100	 49	 21	 100	 13	 0
2	 36	 1	 0	 1	 1667	 403501	 36	 96	 100	 49	 21	 100	 13	 0
2	 37	 1	 0	 1	 1667	 403501	 37	 96	 100	 49	 21	 100	 13	 0
2	 38	 1	 0	 1	 1667	 403501	 38	 96	 100	 49	 21	 100	 13	 0
2	 39	 1	 0	 1	 1667	 403501	 39	 96	 100	 49	 21	 100	 13	 0
2	 40	 1	 0	 1	 1667	 403501	 40	 96	 100	 49	 21	 100	 13	 0
2	 41	 1	 0	 1	 1667	 403501	 41	 96	 100	 49	 21	 100	 13	 0
2	 42	 1	 0	 1	 1667	 403501	 42	 96	 100	 49	 21	 100	 13	 0
2	 43	 1	 0	 1	 1667	 403501	 43	 96	 100	 49	 21	 100	 13	 0
2	 44	 1	 0	 1	 1667	 403501	 44	 96	 100	 49	 21	 100	 13	 0
2	 45	 1	 0	 1	 1667	 403501	 45	 96	 100	 49	 21	 100	 13	 0
2	 46	 1	 0	 1	 1667	 403501	 46	 96	 100	 49	 21	 100	 13	 0
2	 47	 1	 0	 1	 1667	 403501	 47	 96	 100	 49	 21	 100	 13	 0
2	 48	 1	 0	 1	 1667	 403501	 48	 96	 100	 49	 21	 100	 13	 0
2	 49	 1	 0	 1	 1667	 403501	 49	 96	 100	 49	 21	 100	 13	 0
2	 50	 1	 0	 1	 1667	 403501	 50	 96	 100	 49	 21	 100	 13	 0
2	 51	 1	 0	 1	 1667	 403501	 51	 96	 100	 49	 21	 100	 13	 0
2	 52	 1	 0	 1	 1667	 403501	 52	 96	 100	 49	 21	 100	 13	 0
2	 53	 1	 0	 1	 1667	 403501	 53	 96	 100	 49	 21	 100	 13	 0
2	 54	 1	 0	 1	 1667	 403501	 54	 96	 100	 49	 21	 100	 13	 0
2	 55	 1	 0	 1	 1667	 403501	 55	 96	 100	 49	 21	 100	 13	 0
2	 56	 1	 0	 1	 1667	 403501	 56	 96	 100	 49	 21	 100	 13	 0
2	 57	 1	 0	 1	 1667	 403501	 57	 96	 100	 49	 21	 100	 13	 0
2	 58	 1	 0	 1	 1667	 403501	 58	 96	 100	 49	 21	 100	 13	 0
2	 59	 1	 0	 1	 1667	 403501	 59	 96	 100	 49	 21	 100	 13	 0
2	 60	 1	 0	 1	 1667	 403501	 60	 96	 100	 49	 21	 100	 13	 0
2	 61	 1	 0	 1	 1667	 403501	 61	 96	 100	 49	 21	 100	 13	 0
2	 62	 1	 0	 1	 1667	 403501	 62	 96	 100	 49	 21	 100	 13	 0
2	 63	 1	 0	 1	 1667	 403501	 63	 96	 100	 49	 21	 100	 13	 0
2	 64	 1	 0	 1	 1667	 403501	 64	 96	 100	 49	 21	 100	 13	 0
2	 65	 1	 0	 1	 1667	 403501	 65	 96	 100	 49	 21	 100	 13	 0
2	 66	 1	 0	 1	 1667	 403501	 66	 96	 100	 49	 21	 100	 13	 0
2	 67	 1	 0	 1	 1667	 403501	 67	 96	 100	 49	 21	 100	 13	 0
2	 68	 1	 0	 1	 1667	 403501	 68	 96	 100	 49	 21	 100	 13	 0
2	 69	 1	 0	 1	 1667	 403501	 69	 96	 100	 49	 21	 100	 13	 0
2	 70	 1	 0	 1	 1667	 403501	 70	 96	 100	 49	 21	 100	 13	 0
2	 71	 1	 0	 1	 1667	 403501	 71	 96	 100	 49	 21	 100	 13	 0
2	 72	 1	 0	 1	 1667	 403501	 72	 96	 100	 49	 21	 100	 13	 0
2	 73	 1	 0	 1	 1667	 403501	 73	 96	 100	 49	 21	 100	 13	 0
2	 74	 1	 0	 1	 1667	 403501	 74	 96	 100	 49	 21	 100	 13	 0
2	 75	 1	 0	 1	 1667	 403501	 75	 96	 100	 49	 21	 100	 13	 0
2	 76	 1	 0	 1	 1667	 403501	 76	 96	 100	 49	 21	 100	 13	 0
2	 77	 1	 0	 1	 1667	 403501	 77	 96	 100	 49	 21	 100	 13	 0
2	 78	 1	 0	 1	 1667	 403501	 78	 96	 100	 49	 21	 100	 13	 0
2	 79	 1	 0	 1	 1667	 403501	 79	 96	 100	 49	 21	 100	 13	 0
2	 80	 1	 0	 1	 1667	 403501	 80	 96	 100	 49	 21	 100	 13	 0
2	 81	 1	 0	 1	 1667	 403501	 81	 96	 100	 49	 21	 100	 13	 0
2	 82	 1	 0	 1	 1667	 403501	 82	 96	 100	 49	 21	 100	 13	 0
2	 83	 1	 0	 1	 1667	 403501	 83	 96	 100	 49	 21	 100	 13	 0
2	 84	 1	 0	 1	 1667	 403501	 84	 96	 100	 49	 21	 100	 13	 0
2	 85	 1	 0	 1	 1667	 403501	 85	 96	 100	 49	 21	 100	 13	 0
2	 86	 1	 0	 1	 1667	 403501	 86	 96	 100	 49	 21	 100	 13	 0
2	 87	 1	 0	 1	 1667	 403501	 87	 96	 100	 49	 21	 100	 13	 0
2	 88	 1	 0	 1	 1667	 403501	 88	 96	 100	 49	 21	 100	 13	 0
2	 89	 1	 0	 1	 1667	 403501	 89	 96	 100	 49	 21	 100	 13	 0
2	 90	 1	 0	 1	 1667	 403501	 90	 96	 100	 49	 21	 100	 13	 0
2	 91	 1	 0	 1	 1667	 403501	 91	 96	 100	 49	 21	 100	 13	 0
2	 92	 1	 0	 1	 1667	 403501	 92	 96	 100	 49	 21	 100	 13	 0
2	 93	 1	 0	 1	 1667	 403501	 93	 96	 100	 49	 21	 100	 13	 0
2	 94	 1	 0	 1	 1667	 403501	 94	 96	 100	 49	 21	 100	 13	 0
2	 95	 1	 0	 1	 1667	 403501	 95	 96	 100	 49	 21	 100	 13	 0
2	 96	 1	 0	 1	 1667	 403501	 96	 96	 100	 49	 21	 100	 13	 0
3	 97	 1	 0	 1	 1667	 403501	 97	 96	 100	 49	 -11	 100	 13	 0
3	 98	 1	 0	 1	 2027	 518787	 98	 96	 100	 49	 -7	 100	 15	 0
3	 99	 1	 0	 1	 3378	 864645	 99	 96	 100	 49	 -3	 100	 26	 0
4	 100	 1	 0	 1	 3378	 864645	 100	 96	 100	 49	 -3	 100	 26	 0
0	 100	 1	 0	 0	 3378	 864645	 100	 96	 100	 49	 -3	 100	 26	 0
