ramp_sts	 motor_pos	 pos_inc	 motor_dir	 run_flg	 step_delay_us	 step_delay_us_32	 step_no	 step_down	 move	 midpt	 denom	 pos_new	 OCR0	 step_delay_ms
1	 0	 1	 0	 1	 5000	 1280000	 0	 0	 20	 9	 1	 20	 0	 0
1	 1	 1	 0	 1	 3000	 768000	 1	 0	 20	 9	 5	 20	 23	 0
1	 2	 1	 0	 1	 2333	 597334	 2	 0	 20	 9	 9	 20	 18	 0
1	 3	 1	 0	 1	 1974	 505437	 3	 0	 20	 9	 13	 20	 15	 0
1	 4	 1	 0	 1	 1742	 445974	 4	 0	 20	 9	 17	 20	 13	 0
2	 5	 1	 0	 1	 1667	 403501	 5	 16	 20	 9	 21	 20	 13	 0
2	 6	 1	 0	 1	 1667	 403501	 6	 16	 20	 9	 21	 20	 13	 0
2	 7	 1	 0	 1	 1667	 403501	 7	 16	 20	 9	 21	 20	 13	 0
2	 8	 1	 0	 1	 1667	 403501	 8	 16	 20	 9	 21	 20	 13	 0
2	 9	 1	 0	 1	 1667	 403501	 9	 16	 20	 9	 21	 20	 13	 0
2	 10	 1	 0	 1	 1667	 403501	 10	 16	 20	 9	 21	 20	 13	 0
2	 11	 1	 0	 1	 1667	 403501	 11	 16	 20	 9	 21	 20	 13	 0
2	 12	 1	 0	 1	 1667	 403501	 12	 16	 20	 9	 21	 20	 13	 0
2	 13	 1	 0	 1	 1667	 403501	 13	 16	 20	 9	 21	 20	 13	 0
2	 14	 1	 0	 1	 1667	 403501	 14	 16	 20	 9	 21	 20	 13	 0
2	 15	 1	 0	 1	 1667	 403501	 15	 16	 20	 9	 21	 20	 13	 0
2	 16	 1	 0	 1	 1667	 403501	 16	 16	 20	 9	 21	 20	 13	 0
3	 17	 1	 0	 1	 1667	 403501	 17	 16	 20	 9	 -11	 20	 13	 0
3	 18	 1	 0	 1	 2027	 518787	 18	 16	 20	 9	 -7	 20	 15	 0
3	 19	 1	 0	 1	 3378	 864645	 19	 16	 20	 9	 -3	 20	 26	 0
4	 20	 1	 0	 1	 3378	 864645	 20	 16	 20	 9	 -3	 20	 26	 0
0	 20	 1	 0	 0	 3378	 864645	 20	 16	 20	 9	 -3	 20	 26	 0
